cloudtemplateRemoteSitePeer	localhostifp-[{localHostIfPDn}]-peeraddr-[{peeraddr}]
cloudtemplateRemoteUnderlayConnection	remoteunderlayconnection-{name}
cloudtemplateRemoteUnderlaySite	remoteunderlaysite-{remoteSiteId}
cloudtemplateRemoteVpnGw	remotevpngw-[{name}]
cloudtemplateStats	stats-{name}
cloudtemplateTgwCidr	TgwcCidr-[{cidr}]
cloudtemplateTgwConnect	tgwConnect
cloudtemplateVirtualWan	vwan
cloudtemplateVpnNetwork	vpnnetwork-{name}
cloudtemplateVpnRouter	vpnrouter-{name}
cnwPhysIf	cphys-[{id}]
commApiRespTime	apiResp
commCipher	cph-{id}
commHttp	http
commHttps	https
commPol	comm-{name}
commReconfig	reconfig
commRsClientCertCA	rsclientCertCA
commRsKeyRing	rsKeyRing
commSetup	setup
commShellinabox	shellinabox
commSsh	ssh
commSshInst	sshinst
commTelnet	telnet
commTelnetInst	telnetinst
compAddrMgmtAddrBlk	fromaddr-[{from}]-toaddr-[{to}]
compRsFvAddrMgmtPool	rsFvAddrMgmtPool
conditionNodePolGrp	cnpg-{name}
conditionPodPolGrp	cppg-{name}
conditionRsNodeAaaRecRetP	rsnodeAaaRecRetP
conditionRsNodeEventRecRetP	rsnodeEventRecRetP
conditionRsNodeFaultRecRetP	rsnodeFaultRecRetP
conditionRsNodeHealthRecRetP	rsnodeHealthRecRetP
conditionRsToNodePolGrp	rstoNodePolGrp-[{tDn}]
conditionSubj	subj-[{oDn}]
configDumpP	configdump-{name}
configExportP	configexp-{name}
configImportIdP	impid-{name}
configImportP	configimp-{name}
configJob	run-{name}
configRollbackP	snprlb-{name}
configRsExportDestination	rsExportDestination
configRsExportScheduler	rsExportScheduler
configRsImportSource	rsImportSource
configRsRemotePath	rsRemotePath
configSnapshot	snapshot-{name}
configSnapshotMgrP	snpmgr-{name}
configSort	id-{index}
consNode	consnode-[{consDn}]
consRoot	consroot-[{consDn}]-[{subConsDn}]
consSubNode	conssubnode-[{consDn}]
coopCitizenAdjClearLTask	coopCitizenAdjClearLTask
coopNodePEp	node-{id}
coopOracleAdjClearLTask	coopOracleAdjClearLTask
